T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
299.9905,0,0.041991253,0.9705527,5/7/2010 12:11:45 PM
294.3364,0,0.041716043,0.9703414,5/7/2010 12:15:20 PM
289.1934,0,0.041456254,0.9700639,5/7/2010 12:16:10 PM
284.0423,0,0.041178517,0.9697746,5/7/2010 12:16:56 PM
279.7256,0,0.04068214,0.9699271,5/7/2010 12:19:34 PM
278.4633,0,0.040643499,0.9700974,5/7/2010 12:21:26 PM
277.6165,0,0.040686198,0.9702795,5/7/2010 12:22:00 PM
276.6377,0,0.040678409,0.9703361,5/7/2010 12:22:29 PM
275.7051,0,0.040631849,0.9704087,5/7/2010 12:23:02 PM
274.7737,0,0.04055116,0.9704509,5/7/2010 12:23:45 PM
273.8843,0,0.040588143,0.9709122,5/7/2010 12:33:41 PM
272.8918,0,0.040516231,0.9708169,5/7/2010 12:35:20 PM
271.9131,0,0.040433014,0.9707822,5/7/2010 12:37:18 PM
270.9026,0,0.040336134,0.9707593,5/7/2010 12:39:23 PM
269.9063,0,0.040239846,0.9707342,5/7/2010 12:41:21 PM
268.907,0,0.040129648,0.9707143,5/7/2010 12:43:21 PM
267.9106,0,0.040004541,0.9707176,5/7/2010 12:45:24 PM
266.9006,0,0.039873196,0.9707582,5/7/2010 12:47:25 PM
265.1823,0,0.039601185,0.9708426,5/7/2010 12:50:56 PM
265.0389,0,0.039613407,0.970975,5/7/2010 12:51:09 PM
264.0749,0,0.039384381,0.970861,5/7/2010 12:53:02 PM
263.4277,0,0.039141801,0.9708487,5/7/2010 12:55:47 PM
262.8895,0,0.039008471,0.9708453,5/7/2010 12:58:29 PM
262.3997,0,0.038835008,0.970848,5/7/2010 1:01:07 PM
261.9039,0,0.038602636,0.9708274,5/7/2010 1:03:44 PM
261.4048,0,0.038270224,0.9708045,5/7/2010 1:06:23 PM
260.9053,0,0.037665554,0.9707373,5/7/2010 1:09:03 PM
260.4208,0,0.036387166,0.9704725,5/7/2010 1:11:40 PM
259.9124,0,0.03308993,0.9694699,5/7/2010 1:14:21 PM
259.419,0,0.025982338,0.9686479,5/7/2010 1:17:01 PM
258.8918,0,0.018939945,0.969715,5/7/2010 1:19:43 PM
258.4153,0,0.014551654,0.9715161,5/7/2010 1:22:31 PM
257.918,0,0.01063023,0.9725847,5/7/2010 1:25:12 PM
257.4073,0,0.008765025,0.9734,5/7/2010 1:27:50 PM
256.9117,0,0.007388883,0.9743488,5/7/2010 1:30:26 PM
256.408,0,0.006645742,0.9754137,5/7/2010 1:33:17 PM
255.9164,0,0.005771072,0.9764966,5/7/2010 1:35:56 PM
255.4045,0,0.005277418,0.9773654,5/7/2010 1:38:34 PM
254.9122,0,0.004905481,0.9780085,5/7/2010 1:41:11 PM
254.4218,0,0.00461631,0.9785849,5/7/2010 1:43:49 PM
253.9091,0,0.004364979,0.9790906,5/7/2010 1:46:28 PM
253.4181,0,0.004167514,0.9795027,5/7/2010 1:49:06 PM
252.8998,0,0.003996367,0.9799218,5/7/2010 1:51:45 PM
252.4252,0,0.003853615,0.980293,5/7/2010 1:54:21 PM
251.9138,0,0.003726596,0.9806154,5/7/2010 1:57:00 PM
251.4072,0,0.003603602,0.9808602,5/7/2010 1:59:37 PM
250.9099,0,0.003497874,0.9811277,5/7/2010 2:02:14 PM
250.4147,0,0.003407635,0.9813704,5/7/2010 2:04:51 PM
249.9003,0,0.003319326,0.9816241,5/7/2010 2:07:28 PM
244.7937,0,0.002746175,0.9838954,5/7/2010 2:15:05 PM
239.5117,0,0.002370371,0.9843685,5/7/2010 2:18:27 PM
234.4085,0,0.002127209,0.9854727,5/7/2010 2:19:36 PM
229.3014,0,0.001956106,0.9865091,5/7/2010 2:20:35 PM
224.0987,0,0.001828378,0.9874887,5/7/2010 2:21:31 PM
219.2122,0,0.001737713,0.9878719,5/7/2010 2:22:24 PM
214.286,0,0.001663296,0.9885453,5/7/2010 2:23:19 PM
209.1194,0,0.001604885,0.9891625,5/7/2010 2:24:19 PM
204.2849,0,0.001558073,0.9895524,5/7/2010 2:25:19 PM
199.3927,0,0.001517973,0.9898236,5/7/2010 2:26:24 PM
194.2982,0,0.001479051,0.9902371,5/7/2010 2:27:34 PM
188.3542,0,0.001449299,0.9907531,5/7/2010 2:28:58 PM
184.4083,0,0.001421058,0.9904566,5/7/2010 2:29:55 PM
179.2648,0,0.001392858,0.9906113,5/7/2010 2:31:01 PM
174.2959,0,0.001367822,0.9907745,5/7/2010 2:32:05 PM
169.3576,0,0.001344797,0.9908071,5/7/2010 2:33:05 PM
164.2657,0,0.001321354,0.9908901,5/7/2010 2:34:07 PM
159.3742,0,0.001300345,0.9911374,5/7/2010 2:35:07 PM
154.3524,0,0.001281303,0.9908664,5/7/2010 2:36:09 PM
149.3382,0,0.00125992,0.9906012,5/7/2010 2:37:08 PM
144.3262,0,0.001238497,0.9905338,5/7/2010 2:38:09 PM
139.2957,0,0.001217136,0.9903792,5/7/2010 2:39:09 PM
134.3801,0,0.001195236,0.9900378,5/7/2010 2:40:09 PM
129.3589,0,0.001171411,0.9897399,5/7/2010 2:41:07 PM
124.2402,0,0.001144687,0.9894677,5/7/2010 2:42:07 PM
119.2496,0,0.001127307,0.9893535,5/7/2010 2:43:06 PM
114.2811,0,0.001118906,0.9890069,5/7/2010 2:44:02 PM
109.3793,0,0.001117938,0.9891784,5/7/2010 2:44:59 PM
104.2991,0,0.001113935,0.9890491,5/7/2010 2:45:56 PM
99.24358,0,0.001114467,0.9891675,5/7/2010 2:46:52 PM
94.29431,0,0.001114391,0.9889966,5/7/2010 2:47:48 PM
89.32269,0,0.001114834,0.9889664,5/7/2010 2:48:44 PM
84.25096,0,0.001117014,0.9890827,5/7/2010 2:49:37 PM
79.24954,0,0.001118015,0.9891782,5/7/2010 2:50:29 PM
74.20094,0,0.001119375,0.9892591,5/7/2010 2:51:21 PM
69.19563,0,0.001120049,0.9891196,5/7/2010 2:52:12 PM
64.28795,0,0.001120805,0.9892959,5/7/2010 2:53:02 PM
59.25902,0,0.001122366,0.9893455,5/7/2010 2:53:51 PM
54.19778,0,0.001122028,0.9895192,5/7/2010 2:54:39 PM
49.31276,0,0.001124511,0.9895349,5/7/2010 2:55:26 PM
44.22888,0,0.001125102,0.9894736,5/7/2010 2:56:12 PM
39.22839,0,0.00112631,0.9895515,5/7/2010 2:56:56 PM
34.29419,0,0.001128026,0.9895597,5/7/2010 2:57:42 PM
29.36957,0,0.001128811,0.9895267,5/7/2010 2:58:31 PM
24.36674,0,0.001128878,0.9894879,5/7/2010 2:59:24 PM
19.98711,0,0.001128979,0.9897021,5/7/2010 3:17:40 PM